tem,glnonfil,temnorth,temsouth,,,
-0.363,-0.4,-0.444,-0.281,,,
-0.448,-0.383,-0.546,-0.35,,,
-0.346,-0.213,-0.388,-0.304,,,
-0.375,-0.284,-0.267,-0.483,,,
-0.4,-0.326,-0.277,-0.522,,,
-0.355,-0.322,-0.204,-0.506,,,
-0.257,-0.214,-0.13,-0.384,,,
-0.343,-0.333,-0.366,-0.32,,,
-0.534,-0.551,-0.698,-0.37,,,
-0.218,-0.126,-0.116,-0.32,,,
-0.465,-0.405,-0.591,-0.339,,,
-0.29,-0.149,-0.383,-0.196,,,
-0.533,-0.489,-0.785,-0.281,,,
-0.546,-0.494,-0.642,-0.449,,,
-0.457,-0.423,-0.503,-0.411,,,
-0.436,-0.43,-0.31,-0.563,,,
-0.587,-0.514,-0.531,-0.643,,,
-0.508,-0.447,-0.494,-0.523,,,
-0.382,-0.36,-0.352,-0.413,,,
-0.434,-0.461,-0.368,-0.5,,,
-0.661,-0.642,-0.94,-0.381,,,
-0.792,-0.81,-1.014,-0.57,,,
-1.045,-0.993,-1.556,-0.534,,,
-0.845,-0.748,-1.231,-0.458,,,
-0.427,-0.401,-0.553,-0.3,,,
-0.515,-0.564,-0.466,-0.564,,,
-0.572,-0.59,-0.622,-0.522,,,
-0.442,-0.476,-0.287,-0.597,,,
-0.244,-0.273,-0.119,-0.368,,,
-0.287,-0.311,-0.235,-0.339,,,
-0.365,-0.442,-0.322,-0.408,,,
-0.304,-0.287,-0.248,-0.361,,,
-0.405,-0.44,-0.425,-0.384,,,
-0.485,-0.366,-0.615,-0.354,,,
-0.628,-0.502,-0.849,-0.406,,,
-0.429,-0.395,-0.438,-0.421,,,
-0.512,-0.386,-0.482,-0.542,,,
-0.537,-0.413,-0.465,-0.609,,,
-0.519,-0.469,-0.366,-0.673,,,
-0.584,-0.53,-0.522,-0.645,,,
-0.392,-0.345,-0.202,-0.582,,,
-0.354,-0.337,-0.226,-0.481,,,
-0.44,-0.449,-0.301,-0.578,,,
-0.399,-0.473,-0.307,-0.491,,,
-0.46,-0.439,-0.549,-0.371,,,
-0.552,-0.432,-0.604,-0.499,,,
-0.636,-0.541,-0.88,-0.392,,,
-0.642,-0.703,-0.808,-0.476,,,
-0.618,-0.534,-0.744,-0.492,,,
-0.461,-0.435,-0.352,-0.57,,,
-0.483,-0.449,-0.408,-0.557,,,
-0.425,-0.365,-0.447,-0.403,,,
-0.335,-0.362,-0.249,-0.421,,,
-0.377,-0.306,-0.402,-0.352,,,
-0.394,-0.296,-0.187,-0.602,,,
-0.326,-0.352,-0.19,-0.462,,,
-0.321,-0.291,-0.311,-0.332,,,
-0.367,-0.342,-0.364,-0.369,,,
-0.315,-0.249,-0.386,-0.244,,,
-0.337,-0.252,-0.377,-0.296,,,
-0.588,-0.43,-0.839,-0.337,,,
-0.546,-0.378,-0.749,-0.343,,,
-0.356,-0.244,-0.31,-0.402,,,
-0.23,-0.142,-0.055,-0.405,,,
-0.182,-0.146,-0.111,-0.253,,,
-0.172,-0.093,-0.12,-0.223,,,
-0.155,-0.136,-0.004,-0.306,,,
-0.118,-0.157,0.02,-0.256,,,
-0.314,-0.318,-0.486,-0.142,,,
-0.094,-0.047,-0.102,-0.087,,,
-0.3,-0.228,-0.446,-0.154,,,
-0.349,-0.175,-0.526,-0.171,,,
-0.415,-0.304,-0.688,-0.143,,,
-0.118,-0.098,-0.119,-0.116,,,
-0.114,-0.066,0.012,-0.241,,,
-0.163,-0.178,-0.092,-0.234,,,
-0.187,-0.191,-0.002,-0.372,,,
-0.185,-0.18,-0.072,-0.299,,,
-0.186,-0.177,-0.045,-0.327,,,
-0.212,-0.283,-0.104,-0.321,,,
-0.423,-0.468,-0.429,-0.416,,,
-0.465,-0.497,-0.508,-0.422,,,
-0.199,-0.141,-0.068,-0.331,,,
-0.556,-0.426,-0.636,-0.476,,,
-0.843,-0.772,-1.114,-0.571,,,
-0.663,-0.608,-0.548,-0.778,,,
-0.56,-0.484,-0.448,-0.671,,,
-0.335,-0.336,-0.228,-0.441,,,
-0.395,-0.403,-0.209,-0.58,,,
-0.389,-0.326,-0.276,-0.503,,,
-0.371,-0.359,-0.273,-0.468,,,
-0.501,-0.592,-0.431,-0.571,,,
-0.529,-0.483,-0.533,-0.524,,,
-0.49,-0.395,-0.402,-0.577,,,
-0.36,-0.237,-0.295,-0.424,,,
-0.554,-0.524,-0.723,-0.385,,,
-0.589,-0.604,-0.842,-0.336,,,
-0.439,-0.387,-0.403,-0.476,,,
-0.359,-0.349,-0.327,-0.391,,,
-0.501,-0.433,-0.506,-0.496,,,
-0.366,-0.308,-0.249,-0.482,,,
-0.24,-0.191,-0.126,-0.354,,,
-0.152,-0.159,-0.063,-0.24,,,
-0.183,-0.188,-0.041,-0.325,,,
-0.057,-0.032,0.15,-0.264,,,
-0.466,-0.498,-0.573,-0.36,,,
-0.507,-0.334,-0.734,-0.279,,,
-0.203,-0.227,-0.349,-0.057,,,
-0.2,-0.327,-0.097,-0.303,,,
-0.224,-0.294,-0.207,-0.241,,,
-0.303,-0.327,-0.198,-0.407,,,
-0.217,-0.22,-0.102,-0.332,,,
-0.191,-0.227,-0.155,-0.227,,,
-0.211,-0.216,-0.137,-0.285,,,
-0.196,-0.241,-0.101,-0.29,,,
-0.065,-0.088,0.134,-0.264,,,
-0.263,-0.287,-0.293,-0.232,,,
-0.236,-0.093,-0.135,-0.338,,,
-0.281,-0.223,-0.304,-0.257,,,
-0.268,-0.325,-0.184,-0.353,,,
-0.201,-0.269,0.005,-0.407,,,
-0.175,-0.237,-0.005,-0.346,,,
-0.249,-0.228,-0.251,-0.248,,,
-0.237,-0.196,-0.105,-0.368,,,
-0.329,-0.248,-0.135,-0.522,,,
-0.205,-0.239,-0.095,-0.315,,,
-0.355,-0.382,-0.277,-0.434,,,
-0.341,-0.321,-0.335,-0.347,,,
-0.396,-0.443,-0.368,-0.424,,,
-0.485,-0.467,-0.525,-0.444,,,
-0.44,-0.258,-0.433,-0.447,,,
-0.232,-0.274,-0.13,-0.335,,,
-0.474,-0.442,-0.58,-0.368,,,
-0.431,-0.484,-0.534,-0.327,,,
-0.43,-0.455,-0.503,-0.357,,,
-0.445,-0.446,-0.471,-0.419,,,
-0.389,-0.439,-0.379,-0.4,,,
-0.425,-0.433,-0.298,-0.552,,,
-0.373,-0.422,-0.373,-0.373,,,
-0.501,-0.531,-0.438,-0.563,,,
-0.563,-0.579,-0.69,-0.436,,,
-0.566,-0.552,-0.69,-0.442,,,
-0.434,-0.324,-0.369,-0.5,,,
-0.24,-0.239,-0.079,-0.401,,,
-0.398,-0.403,-0.413,-0.384,,,
-0.588,-0.542,-0.562,-0.614,,,
-0.516,-0.524,-0.516,-0.516,,,
-0.548,-0.593,-0.544,-0.551,,,
-0.505,-0.528,-0.474,-0.536,,,
-0.601,-0.621,-0.587,-0.616,,,
-0.56,-0.575,-0.534,-0.585,,,
-0.665,-0.689,-0.596,-0.734,,,
-0.63,-0.691,-0.636,-0.623,,,
-0.714,-0.647,-0.751,-0.677,,,
-0.807,-0.715,-0.916,-0.697,,,
-0.77,-0.688,-0.853,-0.686,,,
-0.696,-0.737,-0.73,-0.662,,,
-0.647,-0.619,-0.66,-0.633,,,
-0.609,-0.592,-0.55,-0.669,,,
-0.564,-0.585,-0.49,-0.638,,,
-0.553,-0.582,-0.55,-0.556,,,
-0.478,-0.53,-0.424,-0.533,,,
-0.597,-0.517,-0.625,-0.569,,,
-0.553,-0.521,-0.442,-0.664,,,
-0.397,-0.435,-0.247,-0.546,,,
-0.5,-0.46,-0.453,-0.547,,,
-0.463,-0.511,-0.484,-0.442,,,
-0.72,-0.747,-0.924,-0.517,,,
-0.524,-0.51,-0.608,-0.441,,,
-0.559,-0.584,-0.629,-0.489,,,
-0.434,-0.393,-0.446,-0.422,,,
-0.343,-0.356,-0.339,-0.346,,,
-0.373,-0.338,-0.259,-0.488,,,
-0.304,-0.304,-0.276,-0.333,,,
-0.345,-0.346,-0.251,-0.44,,,
-0.335,-0.388,-0.285,-0.386,,,
-0.217,-0.247,-0.069,-0.366,,,
-0.274,-0.228,-0.272,-0.276,,,
-0.297,-0.12,-0.419,-0.174,,,
-0.389,-0.282,-0.611,-0.166,,,
-0.29,-0.321,-0.284,-0.295,,,
-0.104,-0.152,-0.012,-0.196,,,
-0.377,-0.374,-0.324,-0.429,,,
-0.233,-0.325,-0.058,-0.407,,,
-0.343,-0.342,-0.311,-0.375,,,
-0.271,-0.351,-0.115,-0.427,,,
-0.353,-0.406,-0.189,-0.517,,,
-0.322,-0.375,-0.148,-0.496,,,
-0.532,-0.464,-0.509,-0.554,,,
-0.321,-0.312,-0.144,-0.498,,,
-0.529,-0.454,-0.672,-0.386,,,
-0.619,-0.525,-0.767,-0.47,,,
-0.438,-0.398,-0.558,-0.318,,,
-0.478,-0.528,-0.539,-0.417,,,
-0.645,-0.605,-0.735,-0.555,,,
-0.544,-0.558,-0.583,-0.505,,,
-0.425,-0.426,-0.405,-0.446,,,
-0.491,-0.487,-0.461,-0.521,,,
-0.399,-0.425,-0.368,-0.43,,,
-0.336,-0.391,-0.175,-0.497,,,
-0.556,-0.616,-0.591,-0.522,,,
-0.59,-0.554,-0.588,-0.592,,,
-0.466,-0.423,-0.478,-0.454,,,
-0.414,-0.43,-0.408,-0.42,,,
-0.704,-0.644,-0.897,-0.511,,,
-0.588,-0.566,-0.569,-0.608,,,
-0.453,-0.498,-0.374,-0.533,,,
-0.413,-0.501,-0.28,-0.545,,,
-0.401,-0.484,-0.319,-0.483,,,
-0.481,-0.551,-0.404,-0.558,,,
-0.387,-0.48,-0.252,-0.523,,,
-0.575,-0.614,-0.404,-0.746,,,
-0.645,-0.637,-0.693,-0.597,,,
-0.638,-0.6,-0.657,-0.619,,,
-0.763,-0.603,-0.891,-0.635,,,
-0.536,-0.567,-0.501,-0.57,,,
-0.652,-0.706,-0.753,-0.552,,,
-0.633,-0.626,-0.673,-0.593,,,
-0.592,-0.61,-0.554,-0.63,,,
-0.5,-0.53,-0.444,-0.557,,,
-0.524,-0.595,-0.409,-0.639,,,
-0.337,-0.33,-0.295,-0.379,,,
-0.416,-0.419,-0.322,-0.51,,,
-0.495,-0.51,-0.369,-0.62,,,
-0.387,-0.439,-0.189,-0.584,,,
-0.596,-0.609,-0.527,-0.666,,,
-0.433,-0.371,-0.377,-0.489,,,
-0.529,-0.536,-0.461,-0.597,,,
-0.619,-0.5,-0.614,-0.624,,,
-0.535,-0.465,-0.531,-0.539,,,
-0.537,-0.494,-0.466,-0.608,,,
-0.559,-0.506,-0.556,-0.563,,,
-0.435,-0.483,-0.38,-0.489,,,
-0.389,-0.456,-0.333,-0.444,,,
-0.423,-0.459,-0.363,-0.482,,,
-0.485,-0.502,-0.348,-0.622,,,
-0.672,-0.67,-0.644,-0.701,,,
-0.757,-0.683,-0.823,-0.69,,,
-0.668,-0.563,-0.724,-0.612,,,
-0.706,-0.773,-0.7,-0.712,,,
-0.764,-0.714,-0.748,-0.78,,,
-0.644,-0.734,-0.518,-0.769,,,
-0.627,-0.622,-0.508,-0.746,,,
-0.554,-0.574,-0.343,-0.766,,,
-0.493,-0.529,-0.348,-0.637,,,
-0.506,-0.513,-0.386,-0.626,,,
-0.498,-0.515,-0.318,-0.679,,,
-0.345,-0.465,-0.199,-0.492,,,
-0.349,-0.391,-0.269,-0.429,,,
-0.315,-0.307,-0.376,-0.255,,,
-0.329,-0.361,-0.44,-0.219,,,
-0.315,-0.312,-0.277,-0.353,,,
-0.554,-0.392,-0.792,-0.317,,,
-0.338,-0.38,-0.335,-0.34,,,
-0.335,-0.391,-0.271,-0.4,,,
-0.285,-0.329,-0.119,-0.451,,,
-0.507,-0.481,-0.52,-0.494,,,
-0.572,-0.571,-0.661,-0.484,,,
-0.644,-0.57,-0.765,-0.523,,,
-0.679,-0.649,-0.845,-0.513,,,
-0.558,-0.542,-0.605,-0.511,,,
-0.591,-0.487,-0.734,-0.447,,,
-0.564,-0.472,-0.64,-0.487,,,
-0.55,-0.511,-0.759,-0.342,,,
-0.606,-0.574,-0.701,-0.511,,,
-0.534,-0.445,-0.575,-0.493,,,
-0.541,-0.526,-0.62,-0.462,,,
-0.551,-0.541,-0.579,-0.524,,,
-0.477,-0.455,-0.545,-0.409,,,
-0.396,-0.403,-0.367,-0.424,,,
-0.417,-0.425,-0.398,-0.436,,,
-0.438,-0.437,-0.438,-0.439,,,
-0.368,-0.291,-0.305,-0.43,,,
-0.164,-0.208,-0.009,-0.319,,,
-0.078,-0.1,0.11,-0.267,,,
-0.27,-0.23,-0.247,-0.293,,,
-0.397,-0.331,-0.536,-0.259,,,
-0.409,-0.406,-0.493,-0.324,,,
-0.308,-0.321,-0.276,-0.34,,,
-0.308,-0.309,-0.276,-0.34,,,
-0.297,-0.348,-0.307,-0.287,,,
-0.245,-0.259,-0.244,-0.245,,,
-0.301,-0.329,-0.278,-0.325,,,
-0.11,-0.129,-0.088,-0.133,,,
-0.19,-0.167,-0.339,-0.042,,,
-0.237,-0.29,-0.254,-0.219,,,
-0.287,-0.195,-0.307,-0.268,,,
-0.22,-0.126,-0.242,-0.199,,,
-0.194,-0.199,-0.318,-0.07,,,
-0.083,-0.073,-0.037,-0.128,,,
-0.168,-0.183,-0.078,-0.258,,,
-0.172,-0.206,-0.094,-0.25,,,
-0.169,-0.165,-0.142,-0.196,,,
-0.067,-0.118,-0.014,-0.12,,,
-0.12,-0.154,-0.13,-0.11,,,
-0.286,-0.295,-0.347,-0.225,,,
-0.173,-0.164,-0.076,-0.269,,,
-0.362,-0.3,-0.321,-0.404,,,
-0.338,-0.273,-0.312,-0.363,,,
-0.264,-0.206,-0.304,-0.224,,,
-0.439,-0.427,-0.582,-0.296,,,
-0.375,-0.371,-0.405,-0.345,,,
-0.418,-0.366,-0.389,-0.447,,,
-0.495,-0.494,-0.453,-0.537,,,
-0.385,-0.355,-0.222,-0.548,,,
-0.297,-0.38,-0.298,-0.296,,,
-0.322,-0.366,-0.398,-0.245,,,
-0.374,-0.425,-0.381,-0.368,,,
-0.514,-0.547,-0.505,-0.524,,,
-0.821,-0.643,-1.072,-0.571,,,
-0.689,-0.664,-0.663,-0.715,,,
-0.716,-0.777,-0.779,-0.653,,,
-0.784,-0.868,-0.868,-0.701,,,
-0.546,-0.527,-0.556,-0.536,,,
-0.644,-0.699,-0.714,-0.574,,,
-0.479,-0.433,-0.488,-0.469,,,
-0.245,-0.217,-0.258,-0.233,,,
-0.333,-0.279,-0.268,-0.398,,,
-0.298,-0.16,-0.281,-0.314,,,
-0.536,-0.442,-0.672,-0.399,,,
-0.459,-0.429,-0.404,-0.514,,,
-0.787,-0.679,-1.062,-0.511,,,
-0.518,-0.549,-0.588,-0.448,,,
-0.672,-0.556,-0.644,-0.7,,,
-0.579,-0.498,-0.55,-0.608,,,
-0.623,-0.528,-0.646,-0.601,,,
-0.525,-0.503,-0.609,-0.441,,,
-0.387,-0.416,-0.529,-0.244,,,
-0.37,-0.393,-0.356,-0.383,,,
-0.43,-0.44,-0.35,-0.509,,,
-0.258,-0.3,-0.227,-0.29,,,
-0.119,-0.144,-0.118,-0.12,,,
-0.19,-0.1,-0.363,-0.017,,,
-0.424,-0.246,-0.652,-0.197,,,
-0.251,-0.134,-0.382,-0.12,,,
-0.242,-0.134,-0.413,-0.071,,,
-0.392,-0.372,-0.642,-0.142,,,
-0.211,-0.149,-0.272,-0.151,,,
-0.308,-0.288,-0.43,-0.185,,,
-0.358,-0.298,-0.409,-0.306,,,
-0.3,-0.38,-0.267,-0.333,,,
-0.238,-0.376,-0.144,-0.333,,,
-0.286,-0.302,-0.186,-0.386,,,
-0.259,-0.397,-0.129,-0.388,,,
-0.558,-0.586,-0.57,-0.545,,,
-0.503,-0.497,-0.622,-0.384,,,
-0.259,-0.265,-0.194,-0.323,,,
-0.546,-0.403,-0.473,-0.619,,,
-0.172,-0.137,-0.177,-0.167,,,
-0.337,-0.308,-0.322,-0.351,,,
-0.256,-0.253,-0.255,-0.258,,,
-0.238,-0.204,-0.238,-0.239,,,
-0.3,-0.308,-0.202,-0.399,,,
-0.227,-0.251,-0.189,-0.264,,,
-0.196,-0.135,-0.282,-0.111,,,
-0.218,-0.201,-0.274,-0.162,,,
-0.346,-0.325,-0.474,-0.217,,,
-0.488,-0.377,-0.63,-0.347,,,
-0.218,-0.197,-0.064,-0.371,,,
-0.295,-0.208,-0.177,-0.413,,,
-0.343,-0.282,-0.348,-0.337,,,
-0.291,-0.254,-0.139,-0.442,,,
-0.302,-0.258,-0.274,-0.329,,,
-0.154,-0.149,-0.097,-0.211,,,
-0.155,-0.171,0.003,-0.314,,,
-0.321,-0.279,-0.202,-0.44,,,
-0.207,-0.163,-0.147,-0.267,,,
-0.134,-0.154,-0.079,-0.19,,,
-0.196,-0.31,-0.2,-0.192,,,
-0.271,-0.182,-0.233,-0.31,,,
-0.419,-0.411,-0.439,-0.399,,,
-0.409,-0.295,-0.563,-0.255,,,
-0.344,-0.271,-0.295,-0.394,,,
-0.291,-0.235,-0.248,-0.334,,,
-0.47,-0.412,-0.308,-0.631,,,
-0.293,-0.332,-0.198,-0.387,,,
-0.259,-0.268,-0.212,-0.306,,,
-0.356,-0.353,-0.336,-0.376,,,
-0.324,-0.298,-0.36,-0.289,,,
-0.345,-0.35,-0.283,-0.407,,,
-0.255,-0.3,-0.18,-0.331,,,
-0.305,-0.316,-0.209,-0.402,,,
-0.404,-0.241,-0.326,-0.481,,,
-0.494,-0.437,-0.588,-0.401,,,
-0.456,-0.432,-0.555,-0.356,,,
-0.41,-0.372,-0.594,-0.227,,,
-0.404,-0.337,-0.378,-0.43,,,
-0.253,-0.264,-0.215,-0.29,,,
-0.42,-0.375,-0.283,-0.556,,,
-0.324,-0.38,-0.204,-0.443,,,
-0.341,-0.331,-0.17,-0.512,,,
-0.176,-0.253,0.085,-0.438,,,
-0.034,-0.037,0.158,-0.225,,,
-0.1,-0.03,0.007,-0.207,,,
-0.327,-0.343,-0.364,-0.29,,,
-0.315,-0.245,-0.229,-0.401,,,
-0.176,-0.302,-0.028,-0.324,,,
-0.342,-0.305,-0.313,-0.372,,,
-0.218,-0.25,-0.124,-0.311,,,
-0.276,-0.242,-0.186,-0.365,,,
-0.294,-0.284,-0.18,-0.408,,,
-0.317,-0.302,-0.161,-0.474,,,
-0.331,-0.301,-0.174,-0.488,,,
-0.366,-0.32,-0.187,-0.544,,,
-0.291,-0.372,0.027,-0.608,,,
-0.492,-0.548,-0.392,-0.593,,,
-0.492,-0.434,-0.397,-0.586,,,
-0.485,-0.303,-0.492,-0.479,,,
-0.374,-0.244,-0.323,-0.424,,,
-0.307,-0.303,-0.204,-0.41,,,
-0.306,-0.219,-0.251,-0.36,,,
-0.334,-0.279,-0.264,-0.405,,,
-0.331,-0.251,-0.211,-0.451,,,
-0.168,-0.141,-0.106,-0.23,,,
-0.259,-0.211,0.015,-0.533,,,
-0.289,-0.324,-0.085,-0.492,,,
-0.059,-0.087,0.094,-0.212,,,
0.014,-0.039,0.201,-0.173,,,
0.083,0.082,0.389,-0.224,,,
-0.035,-0.031,0.117,-0.187,,,
0.024,-0.053,0.131,-0.084,,,
-0.158,-0.189,-0.166,-0.15,,,
-0.27,-0.228,-0.206,-0.334,,,
-0.183,-0.11,-0.135,-0.231,,,
-0.208,-0.26,-0.094,-0.323,,,
-0.1,-0.11,0.021,-0.221,,,
-0.118,-0.131,0.033,-0.268,,,
-0.07,-0.088,0.108,-0.248,,,
-0.116,-0.124,0.063,-0.294,,,
-0.322,-0.258,-0.285,-0.359,,,
-0.311,-0.271,-0.313,-0.309,,,
-0.212,-0.154,-0.11,-0.315,,,
-0.419,-0.356,-0.447,-0.391,,,
-0.315,-0.271,-0.268,-0.361,,,
-0.23,-0.284,-0.087,-0.373,,,
-0.248,-0.274,-0.107,-0.39,,,
-0.205,-0.179,-0.052,-0.357,,,
-0.213,-0.165,-0.034,-0.393,,,
-0.12,-0.147,0.078,-0.317,,,
-0.03,-0.059,0.274,-0.333,,,
-0.127,-0.183,0.118,-0.371,,,
-0.324,-0.429,-0.334,-0.313,,,
-0.017,-0.074,0.173,-0.207,,,
-0.125,-0.155,0.04,-0.289,,,
-0.32,-0.373,-0.271,-0.368,,,
-0.235,-0.267,-0.217,-0.253,,,
-0.301,-0.296,-0.154,-0.449,,,
-0.327,-0.365,-0.241,-0.413,,,
-0.188,-0.196,-0.081,-0.295,,,
-0.179,-0.206,-0.1,-0.257,,,
-0.207,-0.239,-0.074,-0.34,,,
-0.184,-0.172,-0.029,-0.339,,,
-0.172,-0.185,-0.04,-0.304,,,
-0.227,-0.276,-0.055,-0.399,,,
-0.436,-0.517,-0.531,-0.342,,,
-0.604,-0.685,-0.709,-0.499,,,
-0.487,-0.448,-0.371,-0.603,,,
-0.437,-0.421,-0.336,-0.538,,,
-0.435,-0.407,-0.317,-0.552,,,
-0.409,-0.357,-0.363,-0.455,,,
-0.44,-0.401,-0.347,-0.533,,,
-0.266,-0.224,-0.085,-0.448,,,
-0.277,-0.289,-0.146,-0.408,,,
-0.221,-0.203,-0.036,-0.407,,,
-0.14,-0.089,-0.115,-0.165,,,
-0.56,-0.489,-0.684,-0.437,,,
-0.363,-0.368,-0.196,-0.53,,,
-0.356,-0.311,-0.256,-0.455,,,
-0.247,-0.191,-0.062,-0.433,,,
-0.231,-0.194,-0.159,-0.303,,,
-0.251,-0.219,-0.2,-0.301,,,
-0.204,-0.202,-0.133,-0.275,,,
-0.188,-0.153,0.018,-0.394,,,
-0.098,-0.08,0.11,-0.305,,,
-0.092,-0.123,0.057,-0.241,,,
-0.091,-0.084,0.071,-0.252,,,
0.064,0.052,0.324,-0.197,,,
-0.065,-0.111,0.068,-0.198,,,
-0.137,-0.033,-0.058,-0.216,,,
-0.259,-0.201,-0.357,-0.16,,,
-0.109,-0.13,-0.046,-0.172,,,
-0.171,-0.188,-0.123,-0.219,,,
-0.193,-0.159,-0.099,-0.287,,,
-0.025,-0.031,0.178,-0.228,,,
-0.008,-0.027,0.147,-0.163,,,
-0.027,-0.055,0.17,-0.223,,,
-0.052,-0.06,0.199,-0.303,,,
-0.027,-0.064,0.316,-0.37,,,
-0.136,-0.165,0.123,-0.394,,,
-0.097,-0.138,0.102,-0.297,,,
0.08,0.119,0.318,-0.159,,,
-0.178,-0.234,-0.189,-0.167,,,
-0.195,-0.27,-0.24,-0.149,,,
-0.061,-0.095,0.116,-0.238,,,
-0.16,-0.184,-0.078,-0.241,,,
